TiempoTotal,TimepError,ErrorX,Zero,ErrorY,Error,P,I,D,lr,fb,ud,yaw
194976965877689.00,15.62036133,-29,0,-22,-51,0.1,0.5,0,0,0,0,-6
196629313053669.00,0,-32,0,-21,-53,0.1,0.5,0,0,0,0,-6
198281660229758.00,0,-33,0,-23,-56,0.1,0.5,0,0,0,0,-7
199934007405973.00,15.62109375,-34,0,-24,-58,0.1,0.5,0,0,0,0,-6
201586354582296.00,0,-34,0,-22,-56,0.1,0.5,0,0,0,0,-4
203238701758730.00,15.62231445,-36,0,-20,-56,0.1,0.5,0,0,0,0,-5
204891048935288.00,0,-38,0,-17,-55,0.1,0.5,0,0,0,0,-5
206543396111955.00,0,-37,0,-16,-53,0.1,0.5,0,0,0,0,-4
208195743288732.00,0,-38,0,-15,-53,0.1,0.5,0,0,0,0,-5
209848090465665.00,0,-41,0,-15,-56,0.1,0.5,0,0,0,0,-7
211500437642723.00,0,-40,0,-14,-54,0.1,0.5,0,0,0,0,-4
213152784819906.00,15.62133789,-39,0,-12,-51,0.1,0.5,0,0,0,0,-3
214805131997198.00,0,-35,0,-14,-49,0.1,0.5,0,0,0,0,-3
216457479174615.00,0,-35,0,-14,-49,0.1,0.5,0,0,0,0,-4
218109826352142.00,0,-31,0,-15,-46,0.1,0.5,0,0,0,0,-3
219762173529793.00,0,-28,0,-15,-43,0.1,0.5,0,0,0,0,-2
221414520707554.00,0,-27,0,-15,-42,0.1,0.5,0,0,0,0,-3
223066867885456.00,0,-25,0,-15,-40,0.1,0.5,0,0,0,0,-3
224719215063514.00,0,-26,0,-17,-43,0.1,0.5,0,0,0,0,-5
226371562241696.00,0,-24,0,-17,-41,0.1,0.5,0,0,0,0,-3
228023909420019.00,15.62109375,-22,0,-18,-40,0.1,0.5,0,0,0,0,-3
229676256598483.00,15.62109375,-21,0,-18,-39,0.1,0.5,0,0,0,0,-3
231328603777150.00,0,-22,0,-19,-41,0.1,0.5,0,0,0,0,-5
232980950955958.00,0,-21,0,-18,-39,0.1,0.5,0,0,0,0,-2
234633298134890.00,0,-20,0,-18,-38,0.1,0.5,0,0,0,0,-3
236285645313963.00,0,-19,0,-18,-37,0.1,0.5,0,0,0,0,-3
237937992493161.00,0,-19,0,-19,-38,0.1,0.5,0,0,0,0,-4
239590339672469.00,0,-23,0,-20,-43,0.1,0.5,0,0,0,0,-6
241242686851886.00,15.62719727,-22,0,-22,-44,0.1,0.5,0,0,0,0,-4
242895034031490.00,0,-23,0,-33,-56,0.1,0.5,0,0,0,0,-11
244547381211203.00,0,-24,0,-37,-61,0.1,0.5,0,0,0,0,-8
246199728391042.00,0,-23,0,-47,-70,0.1,0.5,0,0,0,0,-11
247852075570990.00,0,-21,0,-53,-74,0.1,0.5,0,0,0,10,-9
249504422751047.00,0,-20,0,-58,-78,0.1,0.5,0,0,0,10,-9
251156769931229.00,0,-18,0,-63,-81,0.1,0.5,0,0,0,10,-9
252809117111537.00,0,-15,0,-69,-84,0.1,0.5,0,0,0,10,-9
254461464291953.00,0,-13,0,-73,-86,0.1,0.5,0,0,0,10,-9
256113811472510.00,0,-10,0,-75,-85,0.1,0.5,0,0,0,10,-8
257766158653192.00,0,-9,0,-73,-82,0.1,0.5,0,0,0,10,-6
259418505833999.00,0,-11,0,-71,-82,0.1,0.5,0,0,0,10,-8
261070853014916.00,0,-6,0,-70,-76,0.1,0.5,0,0,0,10,-4
262723200195957.00,0,8,0,-63,-55,0.1,0.5,0,0,0,10,5
264375547377108.00,0,14,0,-61,-47,0.1,0.5,0,0,0,10,0
266027894558384.00,0,23,0,-59,-36,0.1,0.5,0,0,0,10,1
267680241739769.00,0,31,0,-55,-24,0.1,0.5,0,0,0,10,3
269332588921294.00,0,40,0,-51,-11,0.1,0.5,0,0,0,10,5
270984936102929.00,0,44,0,-48,-4,0.1,0.5,0,0,0,0,3
272637283284689.00,0,49,0,-46,3,0.1,0.5,0,0,0,0,3
