TiempoTotal,TimepError,ErrorX,Zero,ErrorY,Error,P,I,D,lr,fb,ud,yaw
232981388703245.2,15.62060546875,147,0,-6,141,0.1,0.5,0,5,0,0,13
234633738986742.0,0.0,140,0,-6,134,0.1,0.5,0,5,0,0,9
236286089270363.78,0.0,126,0,-6,120,0.1,0.5,0,5,0,0,5
237938439554110.53,0.0,129,0,-8,121,0.1,0.5,0,5,0,0,12
239590789837966.66,0.0,127,0,-11,116,0.1,0.5,0,5,0,0,9
241243140121963.34,0.0,119,0,-17,102,0.1,0.5,0,5,0,0,3
242895490406085.03,0.0,115,0,-22,93,0.1,0.5,0,5,0,0,4
244547840690331.66,0.0,111,0,-23,88,0.1,0.5,0,5,0,0,6
246200190974687.66,15.618896484375,104,0,-25,79,0.1,0.5,0,5,0,0,3
247852541259168.62,0.0,97,0,-27,70,0.1,0.5,0,5,0,0,2
249504891543774.56,0.0,91,0,-25,66,0.1,0.5,0,5,0,0,4
251157241828489.84,0.0,86,0,-23,63,0.1,0.5,0,5,0,0,4
252809592113330.1,0.0,82,0,-20,62,0.1,0.5,0,5,0,0,5
254461942398295.3,0.0,80,0,-18,62,0.1,0.5,0,5,0,0,6
256114292683385.5,15.619140625,76,0,-13,63,0.1,0.5,0,5,0,0,6
257766642968585.03,0.0,72,0,-9,63,0.1,0.5,0,5,0,0,6
259418993253893.94,0.0,71,0,-5,66,0.1,0.5,0,5,0,0,8
261071343539359.03,0.0,64,0,-1,63,0.1,0.5,0,5,0,0,4
262723693824933.5,0.0,57,0,6,63,0.1,0.5,0,5,0,0,6
264376044110617.3,0.0,53,0,6,59,0.1,0.5,0,5,0,0,3
266028394396426.1,0.0,48,0,13,61,0.1,0.5,0,0,0,0,7
267680744682344.22,0.0,41,0,16,57,0.1,0.5,0,0,0,0,3
269333094968387.3,0.0,37,0,21,58,0.1,0.5,0,0,0,0,6
270985445254571.1,0.0,33,0,22,55,0.1,0.5,0,0,0,0,4
272637795540879.75,0.0,32,0,24,56,0.1,0.5,0,0,0,0,6
274290145827297.75,0.0,30,0,26,56,0.1,0.5,0,0,0,0,5
275942496113840.72,0.0,29,0,25,54,0.1,0.5,0,0,0,0,4
277594846400493.03,0.0,29,0,25,54,0.1,0.5,0,0,0,0,5
279247196687270.34,0.0,24,0,22,46,0.1,0.5,0,0,0,0,0
280899546974157.0,0.0,25,0,22,47,0.1,0.5,0,0,0,0,5
282551897261153.06,0.0,25,0,20,45,0.1,0.5,0,0,0,0,3
284204247548274.0,0.0,24,0,17,41,0.1,0.5,0,0,0,0,2
285856597835504.3,0.0,25,0,17,42,0.1,0.5,0,0,0,0,4
287508948122844.0,0.0,23,0,15,38,0.1,0.5,0,0,0,0,1
289161298410308.6,0.0,23,0,14,37,0.1,0.5,0,0,0,0,3
290813648697882.6,0.0,20,0,12,32,0.1,0.5,0,0,0,0,0
292465998985566.0,0.0,21,0,14,35,0.1,0.5,0,0,0,0,5
294118349273374.3,15.661376953125,17,0,13,30,0.1,0.5,0,0,0,0,0
295770699561292.0,0.0,16,0,15,31,0.1,0.5,0,0,0,0,3
297423049849319.0,0.0,16,0,15,31,0.1,0.5,0,0,0,0,3
